m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,7.9,11.3,17.3,1.9,10.3,0.5
1,1,2,8.8,11.6,16.9,6.9,12.0,0.6
1,1,3,6.9,11.9,17.5,0.0,11.1,0.2
1,1,4,8.2,12.3,17.4,3.5,12.2,0.75
1,1,5,8.1,12.2,16.5,1.8,10.8,0.5
1,1,6,8.7,12.7,17.0,21.7,13.9,0.71
1,1,7,9.2,11.9,16.0,5.9,10.5,0.57
1,1,8,8.3,11.9,15.6,7.1,15.1,0.57
1,1,9,8.0,11.6,16.6,0.8,13.3,0.33
1,1,10,7.5,10.6,15.6,13.3,10.4,0.8
1,2,11,8.8,12.3,15.6,21.2,11.8,0.8
1,2,12,8.5,10.9,14.6,21.7,10.2,0.8
1,2,13,9.0,12.3,15.5,13.0,17.4,0.83
1,2,14,7.3,10.8,16.1,0.2,12.5,0.67
1,2,15,6.2,10.8,16.0,0.7,14.7,0.5
1,2,16,7.0,10.9,15.1,6.6,20.6,0.75
1,2,17,8.4,11.8,16.6,0.4,17.0,0.6
1,2,18,6.6,10.6,14.9,0.0,14.2,0.25
1,2,19,6.0,10.5,15.5,0.0,15.5,0.0
1,2,20,6.5,11.0,15.0,0.9,18.7,0.75
1,3,21,5.8,10.8,15.5,19.2,12.5,0.6
1,3,22,8.4,11.3,15.9,11.3,15.1,0.8
1,3,23,6.8,11.2,15.6,0.8,13.4,0.6
1,3,24,7.0,10.4,14.7,4.5,22.3,0.33
1,3,25,6.6,10.2,15.7,5.2,10.7,0.57
1,3,26,6.0,11.4,16.2,4.6,17.0,0.57
1,3,27,7.3,11.3,14.6,11.9,19.2,0.5
1,3,28,5.5,10.0,15.7,0.3,12.3,0.33
1,3,29,5.3,9.9,15.3,0.0,13.0,0.2
1,3,30,7.7,10.4,14.0,2.8,12.4,0.83
1,3,31,7.5,10.6,15.7,0.5,18.5,0.5
2,1,1,6.2,10.8,16.2,0.8,13.6,0.4
2,1,2,7.6,12.5,17.3,0.2,17.5,0.33
2,1,3,7.5,11.3,16.0,1.6,9.6,0.8
2,1,4,7.8,11.8,16.3,5.5,12.1,1.0
2,1,5,6.7,12.1,16.3,0.7,21.7,0.6
2,1,6,7.7,11.0,15.5,4.3,21.1,0.6
2,1,7,5.4,10.5,15.4,0.2,19.9,0.4
2,1,8,7.0,10.4,14.1,0.3,19.7,0.6
2,1,9,6.0,9.2,14.1,0.0,19.1,0.2
2,1,10,5.0,9.5,14.1,0.0,14.9,0.2
2,2,11,6.9,10.6,15.5,0.0,12.0,0.0
2,2,12,7.4,11.4,15.9,0.7,13.0,0.75
2,2,13,7.4,11.6,16.3,7.1,19.1,0.6
2,2,14,7.1,11.4,15.5,3.6,12.8,0.5
2,2,15,7.3,11.4,16.1,1.5,13.4,0.5
2,2,16,6.8,11.3,16.5,0.2,15.3,0.4
2,2,17,6.5,10.7,16.5,0.0,12.6,0.0
2,2,18,6.9,10.7,15.5,0.0,14.3,0.33
2,2,19,6.9,11.8,17.2,1.5,17.6,0.5
2,2,20,5.7,10.9,16.5,0.0,12.7,0.25
2,3,21,7.5,10.3,15.9,0.0,12.8,0.25
2,3,22,5.9,11.0,15.6,6.5,12.1,0.4
2,3,23,6.4,11.8,15.5,4.6,14.1,0.5
2,3,24,7.9,12.6,15.8,5.9,12.9,0.67
2,3,25,8.6,13.8,19.0,0.4,13.2,0.33
2,3,26,7.9,12.7,16.2,2.6,11.6,0.8
2,3,27,8.1,12.9,17.7,2.2,12.5,0.4
2,3,28,9.2,13.1,17.0,7.0,16.9,0.5
2,3,29,8.9,12.8,16.7,0.0,15.1,0.0
3,1,1,8.7,13.5,18.0,0.0,15.6,0.2
3,1,2,8.0,12.9,17.7,0.2,11.6,0.5
3,1,3,8.9,13.6,18.0,1.2,12.2,0.8
3,1,4,8.6,12.6,16.1,0.5,11.9,0.4
3,1,5,8.3,12.8,17.9,4.3,12.9,0.75
3,1,6,8.4,13.4,18.3,4.2,10.9,0.6
3,1,7,8.2,13.8,19.6,0.0,13.0,0.25
3,1,8,8.2,13.1,18.2,1.7,11.2,0.5
3,1,9,8.8,13.7,18.0,0.0,12.2,0.0
3,1,10,10.2,14.1,18.5,0.5,14.7,0.6
3,2,11,8.0,13.8,17.9,0.4,14.6,0.4
3,2,12,10.6,14.4,18.7,0.0,18.7,0.2
3,2,13,9.0,13.2,17.0,7.9,12.3,0.75
3,2,14,8.6,13.8,17.3,12.9,10.6,1.0
3,2,15,9.0,13.4,16.6,1.8,12.6,0.4
3,2,16,8.6,13.6,18.7,3.1,14.3,0.6
3,2,17,8.3,12.4,17.3,1.5,13.0,0.6
3,2,18,9.0,13.1,18.3,0.3,19.7,0.4
3,2,19,8.6,13.7,18.8,0.0,19.8,0.0
3,2,20,10.0,14.3,18.3,0.2,14.3,0.5
3,3,21,9.5,14.5,19.6,0.0,13.1,0.25
3,3,22,8.0,14.8,19.4,0.2,12.1,0.5
3,3,23,10.0,14.6,19.5,0.9,10.4,0.5
3,3,24,8.8,13.1,18.3,0.3,18.3,0.6
3,3,25,8.4,14.2,20.0,0.2,16.0,0.4
3,3,26,8.9,14.5,19.6,0.0,14.3,0.2
3,3,27,11.1,15.0,19.3,0.2,15.0,0.4
3,3,28,8.8,14.6,19.0,2.1,11.0,0.4
3,3,29,10.0,12.9,16.9,6.6,14.1,0.6
3,3,30,9.5,14.7,20.7,1.3,17.3,0.33
3,3,31,9.4,13.7,19.1,0.0,11.9,0.0
4,1,1,10.5,15.2,20.4,0.3,9.6,0.5
4,1,2,10.9,15.3,21.2,0.9,10.9,0.6
4,1,3,11.5,16.6,21.2,0.0,12.6,0.0
4,1,4,10.7,15.8,20.7,0.0,10.0,0.0
4,1,5,11.4,16.2,21.1,0.0,10.2,0.0
4,1,6,12.0,17.1,23.0,0.8,10.9,0.5
4,1,7,11.9,17.5,22.5,1.0,10.8,0.5
4,1,8,12.8,16.7,20.5,0.0,11.2,0.17
4,1,9,12.5,16.3,20.7,0.6,15.6,0.57
4,1,10,10.9,15.7,18.9,0.9,13.9,0.67
4,2,11,11.1,16.3,20.5,0.0,13.7,0.17
4,2,12,12.0,16.3,21.0,0.0,14.3,0.25
4,2,13,11.9,16.3,22.1,0.0,14.6,0.25
4,2,14,11.9,17.3,22.6,0.0,12.5,0.0
4,2,15,13.0,19.0,24.9,0.0,11.5,0.0
4,2,16,12.1,18.4,24.4,0.0,11.1,0.2
4,2,17,13.3,18.7,24.3,0.0,10.8,0.2
4,2,18,14.0,18.9,23.6,0.0,11.6,0.0
4,2,19,13.9,18.2,22.8,0.0,11.6,0.2
4,2,20,13.1,17.2,21.4,0.0,19.6,0.25
4,3,21,11.9,17.0,21.7,0.0,17.1,0.25
4,3,22,11.9,17.8,22.8,0.0,13.0,0.0
4,3,23,12.1,18.5,23.5,0.0,9.8,0.0
4,3,24,13.3,19.3,25.0,0.0,9.6,0.0
4,3,25,13.9,20.1,25.5,0.0,10.6,0.25
4,3,26,13.9,20.0,25.6,0.0,11.4,0.25
4,3,27,13.4,18.8,23.6,0.0,10.9,0.25
4,3,28,15.1,20.2,25.5,0.4,11.5,0.5
4,3,29,14.4,19.7,24.5,0.0,9.3,0.0
4,3,30,16.1,21.0,26.0,0.0,12.9,0.0
5,1,1,16.0,20.7,26.2,0.0,10.9,0.0
5,1,2,15.3,21.3,25.4,0.3,10.4,0.4
5,1,3,16.2,21.1,28.0,0.2,14.4,0.33
5,1,4,15.5,20.7,25.2,0.0,11.2,0.2
5,1,5,15.3,20.2,25.0,4.0,14.4,0.6
5,1,6,15.5,20.9,25.0,0.0,14.7,0.2
5,1,7,14.7,19.4,23.7,0.0,16.2,0.25
5,1,8,14.5,19.1,24.6,1.9,12.2,0.33
5,1,9,14.9,20.4,25.1,0.0,13.0,0.0
5,1,10,15.8,21.5,26.0,0.0,13.4,0.0
5,2,11,15.8,20.5,23.9,0.0,12.1,0.25
5,2,12,15.7,20.5,25.1,0.0,11.1,0.0
5,2,13,15.4,21.3,26.5,0.0,13.2,0.25
5,2,14,15.3,21.5,27.0,0.0,9.7,0.0
5,2,15,17.1,22.4,28.8,0.0,11.2,0.33
5,2,16,17.1,23.4,28.5,0.0,11.1,0.0
5,2,17,17.7,23.7,30.0,0.0,11.8,0.0
5,2,18,17.7,23.9,28.5,0.0,11.0,0.25
5,2,19,19.3,24.3,29.1,0.3,12.4,0.5
5,2,20,18.4,24.3,28.6,0.0,11.2,0.25
5,3,21,18.7,23.4,28.4,0.0,10.5,0.0
5,3,22,19.5,23.3,27.6,0.0,15.2,0.25
5,3,23,18.0,23.0,28.5,0.0,18.5,0.0
5,3,24,18.0,23.9,29.8,0.3,20.2,0.5
5,3,25,19.3,23.3,28.5,0.0,15.3,0.0
5,3,26,17.1,22.2,26.0,0.0,9.8,0.25
5,3,27,17.9,23.0,28.6,0.0,10.8,0.33
5,3,28,18.2,24.5,30.0,0.1,12.6,0.67
5,3,29,19.0,22.4,27.1,1.5,13.0,0.5
5,3,30,18.4,22.4,27.4,1.5,10.6,0.4
5,3,31,17.8,22.7,27.7,0.0,11.0,0.25
6,1,1,17.5,22.3,26.4,0.0,10.2,0.0
6,1,2,18.1,24.0,29.5,0.0,12.5,0.0
6,1,3,19.6,23.8,27.9,0.0,10.9,0.33
6,1,4,19.4,23.4,28.1,0.0,11.1,0.33
6,1,5,19.4,23.7,28.9,0.0,12.9,0.0
6,1,6,18.3,24.8,30.3,0.0,13.4,0.0
6,1,7,20.1,25.7,30.6,0.0,11.1,0.0
6,1,8,19.8,26.4,31.6,0.0,9.9,0.33
6,1,9,22.2,26.8,31.8,0.0,12.6,0.25
6,1,10,20.4,24.2,30.0,0.0,11.4,0.0
6,2,11,20.2,24.0,27.5,0.0,10.9,0.33
6,2,12,19.3,24.5,28.0,1.1,10.8,0.75
6,2,13,19.1,24.7,29.5,0.7,11.0,0.5
6,2,14,21.0,25.8,31.6,0.0,11.0,0.0
6,2,15,20.2,24.2,29.0,0.4,11.6,0.5
6,2,16,20.0,25.1,28.3,0.1,11.0,0.4
6,2,17,20.9,25.2,28.8,0.8,12.3,0.4
6,2,18,20.9,26.1,29.3,0.0,11.6,0.2
6,2,19,21.7,26.7,30.5,0.0,10.8,0.0
6,2,20,22.3,26.9,31.4,0.0,16.3,0.0
6,3,21,22.3,25.8,30.3,0.0,11.2,0.0
6,3,22,22.0,26.7,31.8,0.0,14.1,0.0
6,3,23,22.8,28.3,34.0,0.0,13.8,0.0
6,3,24,23.6,27.8,32.7,0.0,13.3,0.33
6,3,25,23.0,28.1,34.1,0.0,13.1,0.0
6,3,26,23.2,28.3,33.0,0.0,14.0,0.0
6,3,27,24.0,28.8,33.5,0.0,14.0,0.0
6,3,28,23.8,28.5,33.5,0.0,12.7,0.0
6,3,29,24.3,28.9,33.5,0.0,13.4,0.0
6,3,30,25.5,29.8,35.1,0.0,17.0,0.0
7,1,1,23.5,30.1,35.8,0.0,14.2,0.0
7,1,2,24.3,29.4,34.4,0.0,13.5,0.0
7,1,3,23.6,28.4,35.6,0.0,11.5,0.0
7,1,4,24.1,29.4,34.7,0.0,12.8,0.25
7,1,5,24.5,29.9,35.2,0.0,14.1,0.0
7,1,6,24.5,30.4,35.8,0.0,13.9,0.0
7,1,7,25.5,29.2,34.5,0.0,12.4,0.0
7,1,8,24.3,29.5,35.0,0.0,13.4,0.0
7,1,9,24.9,29.6,34.1,0.0,12.1,0.0
7,1,10,25.5,29.2,34.7,0.0,13.6,0.0
7,2,11,25.9,30.3,35.9,0.0,15.7,0.0
7,2,12,24.7,29.5,34.5,0.0,12.3,0.0
7,2,13,24.4,30.8,35.9,0.0,11.8,0.0
7,2,14,25.9,31.2,36.8,0.0,12.3,0.0
7,2,15,26.8,31.5,37.9,0.0,16.7,0.25
7,2,16,25.7,30.5,36.6,0.0,12.7,0.0
7,2,17,24.5,30.6,35.7,0.0,12.7,0.0
7,2,18,25.5,30.4,34.5,0.0,12.7,0.0
7,2,19,25.7,30.5,35.6,0.0,12.3,0.0
7,2,20,25.5,30.0,35.6,0.0,12.0,0.0
7,3,21,25.4,31.1,36.9,0.0,12.2,0.0
7,3,22,27.0,33.0,37.7,0.0,14.3,0.0
7,3,23,27.7,31.8,38.3,0.0,16.7,0.0
7,3,24,27.0,31.9,36.7,0.0,15.4,0.0
7,3,25,25.9,30.7,35.6,0.2,14.8,0.5
7,3,26,25.4,30.3,35.5,0.0,14.2,0.25
7,3,27,25.0,30.8,36.0,0.0,13.6,0.0
7,3,28,25.9,30.7,36.6,0.0,14.0,0.0
7,3,29,26.5,30.7,35.0,0.0,12.1,0.0
7,3,30,25.0,30.2,35.6,0.0,11.0,0.0
7,3,31,25.3,30.3,34.9,0.0,11.8,0.0
8,1,1,25.2,30.2,34.0,0.0,12.1,0.0
8,1,2,25.8,29.8,34.1,0.0,10.9,0.0
8,1,3,26.8,30.2,34.5,0.0,11.2,0.0
8,1,4,25.5,30.1,34.5,0.0,10.5,0.0
8,1,5,25.9,30.8,36.2,0.0,12.0,0.0
8,1,6,26.3,29.7,34.7,0.0,11.0,0.0
8,1,7,25.2,29.1,32.8,0.0,10.6,0.0
8,1,8,25.8,30.1,35.0,0.0,13.2,0.0
8,1,9,26.6,30.2,35.3,0.0,12.4,0.0
8,1,10,24.9,30.7,36.0,0.0,11.2,0.0
8,2,11,25.5,30.7,36.1,0.0,13.1,0.0
8,2,12,26.5,30.7,37.1,0.0,13.4,0.0
8,2,13,24.8,30.9,37.7,0.0,12.5,0.0
8,2,14,24.7,30.4,35.5,0.0,11.4,0.0
8,2,15,25.8,29.8,35.1,0.0,13.7,0.0
8,2,16,24.9,29.6,34.8,0.0,11.9,0.0
8,2,17,24.7,29.3,34.0,0.0,11.4,0.0
8,2,18,23.8,29.0,34.0,0.0,10.4,0.0
8,2,19,24.6,28.6,33.0,0.0,11.8,0.0
8,2,20,24.7,29.4,34.4,0.0,11.4,0.0
8,3,21,25.0,29.7,35.3,0.0,13.3,0.0
8,3,22,25.4,29.7,34.0,0.0,12.9,0.33
8,3,23,25.7,30.1,35.6,0.0,13.1,0.0
8,3,24,24.9,29.6,34.9,0.0,12.4,0.33
8,3,25,24.7,29.0,34.0,0.0,11.3,0.33
8,3,26,23.9,28.4,32.8,0.0,10.6,0.0
8,3,27,24.0,28.5,32.0,0.0,10.5,0.0
8,3,28,23.8,28.2,33.3,0.7,11.1,0.5
8,3,29,23.2,28.5,33.9,0.0,11.7,0.0
8,3,30,23.7,29.2,34.8,0.0,11.8,0.0
8,3,31,23.9,28.7,33.4,0.0,10.9,0.33
9,1,1,22.6,27.3,32.5,0.0,9.9,0.0
9,1,2,22.7,28.3,33.6,0.0,11.4,0.25
9,1,3,23.4,29.2,34.9,0.0,11.7,0.0
9,1,4,22.9,28.0,32.6,0.0,11.0,0.0
9,1,5,23.5,28.2,34.0,0.0,11.7,0.0
9,1,6,24.7,28.5,33.5,0.0,12.4,0.25
9,1,7,24.1,28.7,34.0,0.0,13.6,0.0
9,1,8,23.8,28.4,33.0,0.0,11.4,0.0
9,1,9,23.7,28.1,33.7,0.0,11.4,0.0
9,1,10,23.5,28.1,33.3,0.0,12.7,0.33
9,2,11,23.4,27.3,32.5,0.0,13.0,0.33
9,2,12,22.4,27.1,32.0,0.0,10.9,0.33
9,2,13,22.4,27.1,32.1,0.0,11.8,0.0
9,2,14,23.0,26.2,31.1,0.0,12.2,0.2
9,2,15,22.3,27.9,32.0,0.0,14.5,0.0
9,2,16,21.8,27.0,32.4,0.0,14.3,0.0
9,2,17,22.0,27.3,33.0,0.0,11.9,0.0
9,2,18,22.1,26.9,32.1,0.0,12.1,0.0
9,2,19,22.2,26.5,32.0,0.0,10.9,0.0
9,2,20,21.4,26.1,31.5,0.0,11.1,0.33
9,3,21,21.6,26.5,32.1,0.0,12.7,0.25
9,3,22,21.0,26.0,31.5,0.0,14.5,0.0
9,3,23,20.9,25.7,31.8,0.0,15.1,0.0
9,3,24,19.9,25.2,30.8,0.0,12.3,0.0
9,3,25,20.2,24.8,29.8,0.2,11.6,0.4
9,3,26,19.1,25.1,30.7,0.0,11.4,0.2
9,3,27,19.3,25.1,30.2,0.0,10.5,0.0
9,3,28,20.1,25.7,30.8,0.0,12.0,0.0
9,3,29,21.0,24.7,30.5,0.0,11.1,0.0
9,3,30,20.8,25.1,29.6,0.0,12.4,0.33
10,1,1,20.0,23.8,28.9,0.0,15.3,0.33
10,1,2,19.6,24.6,29.3,0.0,13.5,0.0
10,1,3,20.5,24.4,29.8,0.0,13.7,0.0
10,1,4,18.8,24.7,31.0,0.0,12.1,0.0
10,1,5,19.3,25.0,30.3,0.0,13.6,0.0
10,1,6,19.4,23.7,29.5,0.0,11.5,0.33
10,1,7,18.3,23.7,29.1,0.0,11.0,0.33
10,1,8,18.1,23.0,28.5,0.0,10.3,0.0
10,1,9,18.5,23.5,28.6,0.0,10.1,0.25
10,1,10,18.0,23.2,28.7,0.0,10.8,0.0
10,2,11,18.4,24.2,29.6,0.0,11.6,0.0
10,2,12,18.7,23.5,28.8,0.0,11.6,0.0
10,2,13,19.1,23.3,27.6,0.2,11.1,0.5
10,2,14,18.3,22.9,27.1,0.8,10.3,0.5
10,2,15,18.5,22.7,27.4,0.3,10.2,0.5
10,2,16,17.5,22.1,26.0,3.5,12.0,0.5
10,2,17,18.3,22.7,27.6,0.4,11.9,0.8
10,2,18,18.7,22.5,26.6,1.2,12.4,0.4
10,2,19,18.3,22.2,26.6,0.0,11.9,0.0
10,2,20,17.7,22.1,27.1,0.0,10.3,0.0
10,3,21,17.7,21.2,26.5,0.0,13.4,0.2
10,3,22,16.9,21.0,26.7,0.3,12.4,0.4
10,3,23,15.4,21.4,27.6,0.0,10.9,0.0
10,3,24,15.2,21.3,28.1,0.0,10.1,0.0
10,3,25,15.6,21.2,28.0,0.0,13.8,0.0
10,3,26,15.7,20.8,27.5,0.0,10.7,0.0
10,3,27,15.2,20.7,26.6,0.0,10.4,0.0
10,3,28,15.2,20.3,26.0,0.0,10.7,0.0
10,3,29,14.8,20.5,26.0,0.0,10.8,0.25
10,3,30,14.6,20.0,25.1,0.0,9.0,0.0
10,3,31,15.2,19.5,25.5,0.7,10.2,0.6
11,1,1,15.3,19.7,24.5,1.0,11.4,0.5
11,1,2,15.2,19.8,26.5,1.3,12.6,0.4
11,1,3,14.4,20.2,25.0,0.0,10.1,0.2
11,1,4,14.9,19.5,24.3,0.0,11.8,0.25
11,1,5,15.0,19.8,25.8,0.0,11.2,0.33
11,1,6,14.7,19.6,25.2,4.4,10.0,0.5
11,1,7,14.1,19.0,25.5,0.0,10.4,0.0
11,1,8,13.7,18.8,26.1,0.0,10.0,0.33
11,1,9,13.9,19.0,25.5,0.0,9.3,0.2
11,1,10,13.3,18.5,25.0,0.0,12.2,0.2
11,2,11,13.7,18.7,24.8,0.2,11.5,0.67
11,2,12,12.6,18.3,24.1,0.0,10.1,0.0
11,2,13,12.3,18.1,24.5,0.0,11.1,0.33
11,2,14,13.3,17.8,23.3,0.0,13.2,0.25
11,2,15,12.9,16.6,22.5,0.0,12.6,0.25
11,2,16,12.2,17.4,23.6,0.0,11.3,0.2
11,2,17,12.0,16.4,20.0,0.1,10.5,0.67
11,2,18,12.1,16.0,21.3,2.5,10.9,1.0
11,2,19,11.8,14.8,19.1,0.3,11.1,0.75
11,2,20,12.4,15.6,20.6,12.5,11.8,0.75
11,3,21,11.9,15.7,20.9,0.0,11.0,0.25
11,3,22,12.5,16.1,20.5,1.7,9.8,1.0
11,3,23,12.6,15.8,20.7,4.7,12.6,1.0
11,3,24,10.5,14.9,18.6,10.2,11.6,0.6
11,3,25,11.3,15.3,20.6,9.8,13.9,0.75
11,3,26,11.5,15.8,20.0,5.0,16.2,0.4
11,3,27,10.5,14.2,18.6,3.2,13.8,0.5
11,3,28,11.9,15.9,19.5,1.1,15.4,0.5
11,3,29,9.8,15.3,19.9,0.9,11.3,0.8
11,3,30,12.0,14.6,19.0,12.2,10.2,0.67
12,1,1,11.8,14.8,19.0,1.3,13.1,0.8
12,1,2,10.0,13.8,19.0,0.0,10.3,0.17
12,1,3,10.2,13.7,17.0,3.6,9.8,0.6
12,1,4,11.3,14.0,18.5,1.4,9.6,0.83
12,1,5,11.3,14.8,18.4,8.4,10.7,0.67
12,1,6,10.0,13.1,17.5,2.9,10.8,0.67
12,1,7,10.0,13.3,16.9,8.4,16.3,0.8
12,1,8,9.0,13.4,17.5,14.2,10.6,0.67
12,1,9,9.4,13.3,18.4,2.9,10.4,0.8
12,1,10,9.5,13.9,17.8,2.2,8.6,0.5
12,2,11,12.3,14.3,17.7,8.3,11.8,0.86
12,2,12,10.9,13.2,17.5,38.9,14.9,0.83
12,2,13,10.6,13.3,17.0,14.5,14.1,0.6
12,2,14,9.5,12.4,16.5,12.6,12.5,0.5
12,2,15,10.3,13.1,16.6,16.2,9.7,0.71
12,2,16,11.5,14.1,18.7,7.4,11.4,1.0
12,2,17,9.5,13.1,18.1,11.7,12.9,0.29
12,2,18,7.3,11.3,17.0,0.0,9.8,0.25
12,2,19,7.5,11.8,16.0,6.9,9.5,0.4
12,2,20,7.4,12.1,18.0,0.1,12.9,0.4
12,3,21,7.9,11.8,16.5,7.5,14.0,0.5
12,3,22,6.9,11.8,17.6,23.1,10.0,0.67
12,3,23,8.4,12.6,17.1,3.1,17.3,0.5
12,3,24,8.2,12.9,17.8,6.0,12.3,0.4
12,3,25,8.5,12.6,17.3,0.0,12.6,0.25
12,3,26,9.5,11.5,16.0,4.2,17.6,0.67
12,3,27,8.5,12.2,17.0,2.6,17.1,0.57
12,3,28,8.0,11.3,15.5,0.2,11.6,0.33
12,3,29,7.7,10.9,16.1,7.3,10.0,0.43
12,3,30,8.3,11.7,16.8,15.3,14.6,0.67
12,3,31,7.9,11.6,17.1,20.7,11.2,0.33
